Sorghum bicolor	Brachypodium distachyon	Oryza sativa	Panicum virgatum	Setaria italica	Zea mays	
Sobic.001G000100	Bradi2g42460		Pavir.4KG278600, Pavir.4KG276600	Seita.9G000900	GRMZM2G007948
Sobic.001G002200	Bradi1g00607	LOC_Os03g64290	Pavir.9KG024700, Pavir.9NG018600	Seita.9G002200	GRMZM2G471108
Sobic.001G002300			Pavir.1NG169000	Seita.9G002300, Seita.8G121400	GRMZM2G387394
Sobic.001G002400	Bradi3g20580	LOC_Os08g23740	Pavir.6NG130200	Seita.6G113300	GRMZM2G006366
Sobic.001G002500	Bradi1g00666		Pavir.9NG018300, Pavir.9KG024500	Seita.9G500100	GRMZM2G381441
Sobic.001G002600	Bradi1g00678	LOC_Os03g64250	Pavir.9NG018200, Pavir.9KG024400	Seita.9G500000	GRMZM2G089498
Sobic.001G002650					
Sobic.001G002700				Seita.4G175400	
Sobic.001G002800	Bradi1g00710	LOC_Os03g64230	Pavir.9NG018100	Seita.9G002400	AC220970.4_FGP002
Sobic.001G002900					
Sobic.001G003000	Bradi1g00720	LOC_Os03g64219	Pavir.8NG038200, Pavir.9KG024100	Seita.9G002500	GRMZM2G035150
Sobic.001G003100	Bradi1g00730	LOC_Os03g64210	Pavir.9NG017800	Seita.9G002600	GRMZM2G434173
Sobic.001G003200	Bradi1g00750	LOC_Os08g14450	Pavir.9NG017700, Pavir.9KG023900	Seita.9G002700	GRMZM2G144196
Sobic.001G003300	Bradi1g00760	LOC_Os03g64200	Pavir.9NG017600	Seita.9G002800	GRMZM2G135199
Sobic.001G003400	Bradi1g00770				
Sobic.001G003500	Bradi1g00820	LOC_Os03g64190	Pavir.9NG017500, Pavir.9KG023700	Seita.9G002900	GRMZM5G861064, GRMZM2G434219
Sobic.001G003600	Bradi1g00790, Bradi4g39160	LOC_Os03g64170	Pavir.9NG017300, Pavir.9KG023500	Seita.9G003000	GRMZM5G862317
Sobic.001G003700	Bradi1g00780	LOC_Os03g64150	Pavir.J759800	Seita.9G003100	GRMZM2G363229
Sobic.001G003900	Bradi3g49211	LOC_Os02g41560	Pavir.1KG402400, Pavir.1NG355400	Seita.1G239500	GRMZM2G130314
Sobic.001G004000	Bradi1g00840	LOC_Os03g64130	Pavir.9KG023000	Seita.9G003300	GRMZM2G130302
Sobic.001G004100	Bradi1g00847	LOC_Os03g64110	Pavir.9NG016900, Pavir.9KG016400	Seita.9G003400	GRMZM2G056916
Sobic.001G004200	Bradi1g00860	LOC_Os08g39420	Pavir.9KG016300, Pavir.9NG016800	Seita.9G003500	GRMZM2G126517
Sobic.001G004300	Bradi1g00880	LOC_Os03g64100	Pavir.9KG016200	Seita.9G003600	GRMZM2G130260
Sobic.001G004400			Pavir.9NG016700	Seita.9G003700	GRMZM2G167031
Sobic.001G004500					
Sobic.001G004550			Pavir.4NG022800, Pavir.7NG264900, Pavir.7NG264200		
Sobic.001G004600	Bradi4g20140	LOC_Os11g19730	Pavir.9KG598700, Pavir.9KG350300		
Sobic.001G004700	Bradi1g00910	LOC_Os03g64060	Pavir.9NG016500, Pavir.9KG015800	Seita.9G004000	
Sobic.001G004800	Bradi1g00920	LOC_Os03g64050	Pavir.9KG015700	Seita.9G004100	AC203966.5_FGP003
Sobic.001G004901					
Sobic.001G005000	Bradi1g00931	LOC_Os03g64030	Pavir.9KG015600	Seita.9G004300	GRMZM2G022054
Sobic.001G005100					
Sobic.001G005200			Pavir.9NG016300, Pavir.9KG015400	Seita.9G004200	GRMZM5G896082
Sobic.001G005300	Bradi1g00950	LOC_Os03g63970	Pavir.9NG016000, Pavir.9KG022800	Seita.9G004400	AC203966.5_FGP005
Sobic.001G005400					
Sobic.001G005500	Bradi1g00980	LOC_Os03g63950	Pavir.9KG022700, Pavir.9NG015900	Seita.9G004600	GRMZM2G347956
Sobic.001G005600	Bradi1g00990	LOC_Os03g63940	Pavir.9KG022600, Pavir.9NG015800	Seita.9G004700	GRMZM2G014170, GRMZM2G047774
Sobic.001G005700	Bradi1g01000	LOC_Os03g63930	Pavir.9KG022400, Pavir.9NG015700	Seita.9G004800	GRMZM2G019866
Sobic.001G005800	Bradi1g01007	LOC_Os03g63920	Pavir.9NG015600, Pavir.9KG022300	Seita.9G004900	GRMZM2G137968
Sobic.001G005900	Bradi1g01014		Pavir.9KG022200, Pavir.9NG015500	Seita.9G005000	GRMZM2G138053
Sobic.001G006000	Bradi1g01021	LOC_Os03g63910	Pavir.9KG022100, Pavir.9NG015400	Seita.9G005100	GRMZM2G438524
Sobic.001G006101		LOC_Os03g63900	Pavir.5NG130300, Pavir.9NG015300, Pavir.9KG022000	Seita.9G005200	AC190636.3_FGP005
Sobic.001G006201		LOC_Os03g63900	Pavir.5NG130300, Pavir.9NG015300, Pavir.9KG022000	Seita.9G005200	AC190636.3_FGP005
Sobic.001G006300					GRMZM2G023557
Sobic.001G006400	Bradi1g01047	LOC_Os03g63860	Pavir.9KG021700, Pavir.9NG015200		GRMZM2G019695
Sobic.001G006500		LOC_Os03g63850	Pavir.9KG021600	Seita.9G005400	
Sobic.001G006600	Bradi1g01058	LOC_Os03g63810	Pavir.9KG021500, Pavir.9NG015000	Seita.9G005600	GRMZM2G083717
Sobic.001G006700	Bradi1g01170	LOC_Os03g63770	Pavir.9KG021200, Pavir.9NG014800	Seita.9G005700	GRMZM2G072894
Sobic.001G006800	Bradi1g78600	LOC_Os03g11480	Pavir.2KG317100, Pavir.2NG309500	Seita.2G190900	GRMZM2G074718, GRMZM2G380015
Sobic.001G006900		LOC_Os03g63760	Pavir.9KG021100	Seita.9G005800	
Sobic.001G007000	Bradi2g40860	LOC_Os09g08660	Pavir.2KG210800, Pavir.2NG230400	Seita.2G150000	GRMZM2G417843
Sobic.001G007100	Bradi1g55140		Pavir.2NG065800, Pavir.2KG094800	Seita.2G061600	GRMZM2G359333, GRMZM2G309624, GRMZM2G084164, GRMZM2G330731, GRMZM2G074816
Sobic.001G007200	Bradi1g01130	LOC_Os03g63750	Pavir.9NG014700, Pavir.9KG021000	Seita.9G005900	GRMZM2G384339, GRMZM2G115456
Sobic.001G007300	Bradi1g01120	LOC_Os03g63740	Pavir.9NG014500, Pavir.9KG020800	Seita.9G006000	GRMZM2G384338
Sobic.001G007400	Bradi1g01110	LOC_Os03g63730	Pavir.9KG020700, Pavir.9NG014400	Seita.9G006100	GRMZM2G083813
Sobic.001G007500	Bradi1g01100	LOC_Os03g63720	Pavir.9NG014300, Pavir.9KG020600	Seita.9G006200	GRMZM2G083620
Sobic.001G007600	Bradi1g01090	LOC_Os03g63710	Pavir.9KG020400, Pavir.9NG014200	Seita.9G006300	GRMZM2G083546, GRMZM2G176612
Sobic.001G007700	Bradi1g01080	LOC_Os03g63700	Pavir.9KG020300	Seita.9G006400	GRMZM2G479249
Sobic.001G007800	Bradi5g21640	LOC_Os01g13730	Pavir.5KG013600	Seita.5G003200	GRMZM2G590033
Sobic.001G007900	Bradi1g01070	LOC_Os03g63690	Pavir.9KG020200, Pavir.9NG013900	Seita.9G006500	GRMZM2G083410
Sobic.001G008000	Bradi2g02817	LOC_Os06g30420	Pavir.4NG087100	Seita.4G142900	GRMZM2G110851
Sobic.001G008100	Bradi1g01227	LOC_Os03g63680	Pavir.9NG013800, Pavir.9KG020100	Seita.9G006600	GRMZM2G123527
Sobic.001G008200	Bradi2g26910	LOC_Os03g63670	Pavir.9KG020000, Pavir.9NG013700	Seita.9G387000, Seita.9G006700	GRMZM2G446648, GRMZM5G832651
Sobic.001G008300	Bradi1g01220	LOC_Os03g63660	Pavir.9KG019800, Pavir.9NG013600	Seita.9G006800	GRMZM2G099987
Sobic.001G008400	Bradi1g01210	LOC_Os03g63650	Pavir.9KG019700, Pavir.9NG013400	Seita.9G007000	GRMZM2G100020
Sobic.001G008500	Bradi1g01140, Bradi1g01200	LOC_Os03g63590	Pavir.9NG013300	Seita.9G007100	GRMZM2G083346, GRMZM2G422649
Sobic.001G008600	Bradi1g01190	LOC_Os03g63580	Pavir.9NG013100, Pavir.9KG019500	Seita.9G007200	GRMZM2G422670
Sobic.001G008700	Bradi1g01330	LOC_Os03g63554	Pavir.9NG012800, Pavir.9KG019200	Seita.9G007300	GRMZM2G083081
Sobic.001G008800	Bradi1g01320	LOC_Os03g63550	Pavir.9KG019100	Seita.9G007400	GRMZM2G384070
Sobic.001G008900	Bradi1g01310	LOC_Os03g63540	Pavir.9KG019000, Pavir.9NG012700	Seita.9G007500	GRMZM2G422671
Sobic.001G009000		LOC_Os01g46050	Pavir.5KG429400		
Sobic.001G009100		LOC_Os01g46690			
Sobic.001G009200	Bradi1g01300	LOC_Os03g63530	Pavir.9KG018900, Pavir.9NG012600	Seita.9G007700	GRMZM2G083964
Sobic.001G009300	Bradi1g01290	LOC_Os03g63520	Pavir.9KG018800, Pavir.9NG012500	Seita.9G007800	GRMZM2G082976, GRMZM2G112609
Sobic.001G009400	Bradi1g01280	LOC_Os03g63510	Pavir.9KG018700, Pavir.9NG012400	Seita.9G007900	GRMZM2G084176
Sobic.001G009500	Bradi1g01270		Pavir.9NG012300, Pavir.9KG018500	Seita.9G008000	GRMZM2G028889
Sobic.001G009600	Bradi1g01420	LOC_Os03g63500	Pavir.9NG012200	Seita.9G008100	GRMZM2G115372
Sobic.001G009700	Bradi1g66370, Bradi4g28560, Bradi1g66360	LOC_Os01g31800, LOC_Os03g17100	Pavir.J262300	Seita.5G370700	
Sobic.001G009800	Bradi2g20890	LOC_Os05g41930	Pavir.9NG012100, Pavir.9KG018200	Seita.9G008200	GRMZM2G011923
Sobic.001G009900	Bradi1g01460	LOC_Os03g63490	Pavir.9NG012000	Seita.9G008300	GRMZM5G876146
Sobic.001G010000	Bradi1g01470	LOC_Os05g02210	Pavir.9NG011900		GRMZM5G821637
Sobic.001G010100	Bradi1g01480	LOC_Os03g63480	Pavir.9KG017900, Pavir.9NG011800	Seita.9G008400	
Sobic.001G010200	Bradi4g07637	LOC_Os05g19000, LOC_Os05g19030	Pavir.3KG269000	Seita.2G047300, Seita.2G048100	GRMZM2G058568
Sobic.001G010300	Bradi1g01487	LOC_Os03g63470	Pavir.9NG011700, Pavir.9KG017800	Seita.9G008500	GRMZM2G058511
Sobic.001G010400	Bradi1g01500	LOC_Os03g63450	Pavir.9KG017700, Pavir.9NG011600	Seita.9G008700	
Sobic.001G010500	Bradi1g01520	LOC_Os03g63440	Pavir.9KG017600, Pavir.9NG011500	Seita.9G008800	GRMZM2G021642
Sobic.001G010600	Bradi1g01530	LOC_Os02g13990	Pavir.9KG017500, Pavir.9NG011400	Seita.9G008900	GRMZM2G021742
Sobic.001G010700	Bradi1g17990, Bradi1g01560	LOC_Os03g63430	Pavir.9NG011300, Pavir.9KG017400, Pavir.2NG309300, Pavir.2KG318200, Pavir.2KG326400	Seita.9G009000	GRMZM2G013750
Sobic.001G010800	Bradi1g55690	LOC_Os04g23820	Pavir.7KG081800, Pavir.7NG040100, Pavir.7NG038400	Seita.7G045700	GRMZM2G021170
Sobic.001G010900	Bradi1g01570	LOC_Os03g63420	Pavir.9KG017300, Pavir.9NG011200	Seita.9G009100	GRMZM2G022248, AC226221.2_FGP011, GRMZM2G013695
Sobic.001G011000	Bradi1g01580	LOC_Os03g63410	Pavir.9KG017200, Pavir.9NG011100	Seita.9G009200	GRMZM2G313678, GRMZM2G022269
Sobic.001G011100	Bradi1g01593, Bradi1g01590		Pavir.9KG017100, Pavir.9NG010800	Seita.9G009300	
Sobic.001G011200	Bradi1g01600	LOC_Os03g63400	Pavir.9KG017000, Pavir.9NG010700	Seita.9G009500	GRMZM2G023242
Sobic.001G011300	Bradi1g01620	LOC_Os03g63380	Pavir.9KG004800, Pavir.9NG010400, Pavir.J675500	Seita.9G009800	GRMZM2G024267
Sobic.001G011400	Bradi1g01630	LOC_Os03g63370	Pavir.9KG015300, Pavir.9NG010300	Seita.9G010000	GRMZM2G013200, GRMZM2G013630
Sobic.001G011600	Bradi1g01660	LOC_Os03g63360	Pavir.9NG010200, Pavir.9KG015200	Seita.9G010100	GRMZM2G024389
Sobic.001G011700	Bradi1g01800	LOC_Os03g63330	Pavir.9NG010100	Seita.9G010200	GRMZM2G024686
Sobic.001G011800	Bradi1g01790	LOC_Os03g63320	Pavir.9NG010000, Pavir.9KG015000	Seita.9G010300	GRMZM2G313656, GRMZM2G323261
Sobic.001G012000			Pavir.9KG014900, Pavir.9NG009900, Pavir.9NG414200	Seita.9G011300	GRMZM2G159353
Sobic.001G012100	Bradi1g01780	LOC_Os03g63290	Pavir.9NG009800, Pavir.9KG014800	Seita.9G011400	GRMZM2G013042
Sobic.001G012200	Bradi1g22370, Bradi1g22340	LOC_Os03g63310, LOC_Os12g32850	Pavir.1NG074300, Pavir.8NG317100, Pavir.8KG341900, Pavir.8KG342400	Seita.9G011200, Seita.9G385900, Seita.9G010700, Seita.9G011500, Seita.1G164900	
Sobic.001G012300	Bradi4g39650, Bradi4g39657	LOC_Os04g09430, LOC_Os04g08836		Seita.4G236100	
Sobic.001G012400	Bradi1g63927				GRMZM2G083130
Sobic.001G012500					
Sobic.001G012600					GRMZM2G075828, GRMZM5G800723
Sobic.001G012700	Bradi1g01760	LOC_Os03g63280	Pavir.9NG009600, Pavir.9KG014600	Seita.9G011700	GRMZM2G421126
Sobic.001G012800	Bradi1g01750	LOC_Os03g63270	Pavir.9KG014500, Pavir.9NG009300	Seita.9G011800	GRMZM2G313481, GRMZM2G146158
Sobic.001G012900	Bradi1g01740	LOC_Os03g63250	Pavir.9NG009100, Pavir.9KG014400	Seita.9G011900	GRMZM2G123843, GRMZM2G313460
Sobic.001G013000	Bradi1g01730	LOC_Os03g63140	Pavir.9NG009000, Pavir.9KG014300	Seita.9G012000	GRMZM2G012229
Sobic.001G013100	Bradi1g01720	LOC_Os07g19070, LOC_Os03g63110	Pavir.9NG008900, Pavir.9KG014200	Seita.9G012100	GRMZM2G123901, GRMZM2G159950
Sobic.001G013200	Bradi1g01710	LOC_Os03g63090	Pavir.9NG008800, Pavir.9KG012300, Pavir.9KG014100	Seita.9G012200	GRMZM2G112015, GRMZM2G118586
Sobic.001G013300	Bradi4g27820	LOC_Os09g13880	Pavir.4NG112600	Seita.5G097800	GRMZM2G112003
Sobic.001G013400	Bradi2g41451, Bradi1g01670	LOC_Os03g38010, LOC_Os08g06600	Pavir.9KG012200, Pavir.9NG008700, Pavir.7KG087500	Seita.9G012300	GRMZM2G123920
Sobic.001G013500	Bradi5g20710, Bradi1g33850	LOC_Os06g48230, LOC_Os03g62870			GRMZM2G034326
Sobic.001G013600	Bradi1g78600	LOC_Os03g11480	Pavir.2KG317100, Pavir.2NG309500	Seita.2G190900	GRMZM2G074718, GRMZM2G380015
Sobic.001G013701					
Sobic.001G013800	Bradi2g10990, Bradi1g01700	LOC_Os03g63074	Pavir.9NG008600, Pavir.9KG013500, Pavir.9KG012000	Seita.9G012400	GRMZM2G134054
Sobic.001G013900	Bradi1g01810		Pavir.9KG013100, Pavir.9KG011200, Pavir.9NG008300	Seita.9G012500	GRMZM2G100920
Sobic.001G014000	Bradi1g01820	LOC_Os03g63060	Pavir.9NG008100, Pavir.9KG013000, Pavir.9KG011100	Seita.9G012600	GRMZM2G001661
Sobic.001G014100	Bradi1g01830	LOC_Os03g63040	Pavir.9KG012900, Pavir.9KG011000, Pavir.9NG008000	Seita.9G012800	GRMZM2G021313
Sobic.001G014200	Bradi1g01840	LOC_Os03g63020	Pavir.9KG012700, Pavir.9KG010800, Pavir.9NG007900	Seita.9G012900	GRMZM2G045241
Sobic.001G014300	Bradi5g20260, Bradi5g20265	LOC_Os04g47550	Pavir.1KG218600	Seita.3G243900	
Sobic.001G014400		LOC_Os05g35850	Pavir.J584900		
Sobic.001G014500	Bradi5g20710, Bradi1g33850	LOC_Os06g48230, LOC_Os03g62870			GRMZM2G034326
Sobic.001G014600					GRMZM2G525593
Sobic.001G014700	Bradi5g12137	LOC_Os03g62860	Pavir.9NG007500		GRMZM2G000959
Sobic.001G014800	Bradi3g02650	LOC_Os02g03470	Pavir.9NG007000, Pavir.9KG010300	Seita.9G013400	GRMZM2G016892, GRMZM2G034122
Sobic.001G014900	Bradi1g01847	LOC_Os03g62850	Pavir.9NG006800, Pavir.9KG010200	Seita.9G013500	GRMZM2G016774
Sobic.001G015000	Bradi1g01860	LOC_Os03g62830	Pavir.9NG006100, Pavir.9NG006700, Pavir.6KG252900, Pavir.6NG047100	Seita.9G013700	GRMZM2G016738, GRMZM2G381842
Sobic.001G015100	Bradi1g01870	LOC_Os03g62790	Pavir.9KG010100, Pavir.9NG006600	Seita.2G065300, Seita.9G013900	GRMZM2G165987, GRMZM2G016290
Sobic.001G015200	Bradi1g01880	LOC_Os03g62780	Pavir.9KG009800, Pavir.9KG008000, Pavir.9NG006500	Seita.9G014000	GRMZM2G016084
Sobic.001G015300	Bradi1g01890	LOC_Os03g62770	Pavir.9NG006400, Pavir.9KG009700, Pavir.9KG007900	Seita.9G014100	GRMZM2G316148, GRMZM2G381838
Sobic.001G015400	Bradi1g41990	LOC_Os03g36780	Pavir.4NG175500	Seita.4G153200	GRMZM2G056393
Sobic.001G015500	Bradi1g01900	LOC_Os03g62750	Pavir.9NG006300, Pavir.9KG007800, Pavir.9KG009600	Seita.9G014200	GRMZM2G426200
Sobic.001G015600	Bradi1g01910	LOC_Os03g62760	Pavir.9NG006200, Pavir.9KG007700, Pavir.9KG009500	Seita.9G014300	AC217374.3_FGP001
Sobic.001G015700	Bradi1g01920	LOC_Os03g62740	Pavir.9NG005700	Seita.9G014800	GRMZM2G369815
Sobic.001G015800	Bradi1g01930	LOC_Os03g62730	Pavir.9NG005600	Seita.9G014900	GRMZM2G369912
Sobic.001G016000	Bradi1g01980	LOC_Os03g62680	Pavir.9KG006700, Pavir.9KG008700, Pavir.9NG005100	Seita.9G015200	GRMZM2G155935
Sobic.001G016050					
Sobic.001G016100	Bradi1g12697, Bradi1g01970	LOC_Os03g62690	Pavir.9NG004900, Pavir.9KG008500, Pavir.9KG006500	Seita.9G015400	GRMZM2G399750
Sobic.001G016200	Bradi2g41451, Bradi1g01670	LOC_Os03g38010, LOC_Os08g06600	Pavir.9KG012200, Pavir.9NG008700, Pavir.7KG087500	Seita.9G012300	GRMZM2G123920
Sobic.001G016201	Bradi2g41451, Bradi1g01670	LOC_Os03g38010, LOC_Os08g06600	Pavir.9KG012200, Pavir.9NG008700, Pavir.7KG087500	Seita.9G012300	GRMZM2G123920
Sobic.001G016300	Bradi1g12697, Bradi1g01970	LOC_Os03g62690	Pavir.9NG004900, Pavir.9KG008500, Pavir.9KG006500	Seita.9G015400	GRMZM2G399750
Sobic.001G016350					
Sobic.001G016400		LOC_Os09g08430	Pavir.8KG012000, Pavir.3NG003000, Pavir.3KG020300, Pavir.3NG006100, Pavir.8NG022900	Seita.6G112100	
Sobic.001G016500		LOC_Os09g08430	Pavir.8KG012000, Pavir.3NG003000, Pavir.3KG020300, Pavir.3NG006100, Pavir.8NG022900	Seita.6G112100	
Sobic.001G016600	Bradi1g01990	LOC_Os03g62660	Pavir.9KG006400, Pavir.9NG004800	Seita.9G015500	GRMZM2G155980
Sobic.001G016700	Bradi1g02000	LOC_Os03g62650	Pavir.9NG004700, Pavir.9KG008300, Pavir.9KG006300	Seita.9G015600	GRMZM2G099160
Sobic.001G016800	Bradi1g02010	LOC_Os05g02810	Pavir.9NG004600, Pavir.9KG008200, Pavir.9KG006200	Seita.9G015800	GRMZM2G140908
Sobic.001G016900	Bradi1g02020	LOC_Os03g62640	Pavir.9KG008100, Pavir.9NG004500, Pavir.9KG006100	Seita.9G016500	GRMZM2G069916, GRMZM2G118014
Sobic.001G017000	Bradi1g02030	LOC_Os03g62630	Pavir.9NG004400, Pavir.9KG006000	Seita.9G016600	GRMZM2G118005
Sobic.001G017100	Bradi1g02090	LOC_Os03g62620	Pavir.9KG005900, Pavir.9NG004300	Seita.9G016700	GRMZM2G352415
Sobic.001G017200	Bradi3g11530	LOC_Os02g23890	Pavir.1KG264300, Pavir.1NG202300	Seita.1G147100	AC217358.3_FGP011
Sobic.001G017300	Bradi1g02080	LOC_Os03g62610	Pavir.9KG005800	Seita.9G016800	AC217358.3_FGP010
Sobic.001G017400	Bradi1g02100	LOC_Os03g62600	Pavir.9NG004100, Pavir.9KG005600	Seita.9G016900	AC217358.3_FGP008, AC217358.3_FGP009
Sobic.001G017500	Bradi1g02107	LOC_Os03g62590	Pavir.9NG004000, Pavir.9KG005500	Seita.9G017000	AC217358.3_FGP007
Sobic.001G017600	Bradi4g20570	LOC_Os11g16420	Pavir.8KG172400, Pavir.8NG244400	Seita.8G103200	GRMZM5G878153
Sobic.001G017700	Bradi4g20557	LOC_Os11g16430	Pavir.8KG141500	Seita.6G237100	AC217358.3_FGP003
Sobic.001G017800	Bradi1g02117	LOC_Os03g62580	Pavir.9NG717500, Pavir.9KG005300	Seita.9G017100	GRMZM5G891724, GRMZM2G368350
Sobic.001G017900	Bradi1g02130, Bradi1g53040	LOC_Os07g16140, LOC_Os10g21660	Pavir.9NG717600, Pavir.9NG003800, Pavir.9KG005200	Seita.9G017200	GRMZM5G881369, GRMZM5G851103
Sobic.001G018000	Bradi1g02150	LOC_Os03g62510	Pavir.9KG005100	Seita.9G017300	GRMZM2G144273
Sobic.001G018100	Bradi1g02160	LOC_Os03g62500	Pavir.9NG003600	Seita.9G017600	GRMZM2G138676
Sobic.001G018200	Bradi1g02170	LOC_Os03g62490	Pavir.9NG002400, Pavir.J426300	Seita.9G017700	AC217358.3_FGP005
Sobic.001G018300	Bradi1g22370, Bradi1g22340	LOC_Os03g63310, LOC_Os12g32850	Pavir.1NG074300, Pavir.8NG317100, Pavir.8KG341900, Pavir.8KG342400	Seita.9G011200, Seita.9G385900, Seita.9G010700, Seita.9G011500, Seita.1G164900	
Sobic.001G018350		LOC_Os03g61319, LOC_Os03g61249, LOC_Os03g62440, LOC_Os03g62470	Pavir.9NG279500, Pavir.6KG117300, Pavir.9NG279700, Pavir.5NG394500, Pavir.6NG293600, Pavir.9NG581800, Pavir.1NG084600, Pavir.9NG002200, Pavir.3KG274900, Pavir.9NG028000, Pavir.3KG275100, Pavir.9NG027800	Seita.2G346400, Seita.9G025700, Seita.9G018200, Seita.9G017800, Seita.9G029700	GRMZM2G435219, GRMZM2G435255, GRMZM2G385641, AC211933.4_FGP001, GRMZM5G818155, GRMZM5G848897, AC202950.3_FGP008
Sobic.001G018400					
Sobic.001G018500	Bradi1g02220	LOC_Os03g62420	Pavir.9NG002100, Pavir.J163900	Seita.9G017900	GRMZM2G025227, GRMZM2G704150
Sobic.001G018550					
Sobic.001G018600	Bradi1g22370, Bradi1g22340	LOC_Os03g63310, LOC_Os12g32850	Pavir.1NG074300, Pavir.8NG317100, Pavir.8KG341900, Pavir.8KG342400	Seita.9G011200, Seita.9G385900, Seita.9G010700, Seita.9G011500, Seita.1G164900	
Sobic.001G018700		LOC_Os03g61319, LOC_Os03g61249, LOC_Os03g62440, LOC_Os03g62470	Pavir.9NG279500, Pavir.6KG117300, Pavir.9NG279700, Pavir.5NG394500, Pavir.6NG293600, Pavir.9NG581800, Pavir.1NG084600, Pavir.9NG002200, Pavir.3KG274900, Pavir.9NG028000, Pavir.3KG275100, Pavir.9NG027800	Seita.2G346400, Seita.9G025700, Seita.9G018200, Seita.9G017800, Seita.9G029700	GRMZM2G435219, GRMZM2G435255, GRMZM2G385641, AC211933.4_FGP001, GRMZM5G818155, GRMZM5G848897, AC202950.3_FGP008
Sobic.001G018800		LOC_Os07g33898, LOC_Os07g33997, LOC_Os07g26740	Pavir.9NG482100, Pavir.9KG337600, Pavir.2KG233000, Pavir.2NG272500	Seita.2G122900, Seita.9G438600	GRMZM2G160351
Sobic.001G018900			Pavir.3KG150900		GRMZM2G035017
Sobic.001G019000		LOC_Os01g15410, LOC_Os12g36870	Pavir.2KG328200, Pavir.2KG323100		
Sobic.001G019100				Seita.7G011400	
Sobic.001G019200	Bradi1g02260	LOC_Os04g20920	Pavir.9NG001800	Seita.9G018400	GRMZM2G447976
Sobic.001G019300	Bradi1g02270	LOC_Os03g62370	Pavir.9NG001700	Seita.9G018500	GRMZM2G448001
Sobic.001G019400	Bradi1g02280	LOC_Os03g62340	Pavir.J159300	Seita.9G018600	GRMZM2G148962, GRMZM2G114899
Sobic.001G019500	Bradi1g02300	LOC_Os03g62330	Pavir.9NG001300, Pavir.2KG362700, Pavir.2KG361400	Seita.9G018800	GRMZM2G114992
Sobic.001G019601					
Sobic.001G019700	Bradi1g02370	LOC_Os03g62270	Pavir.9NG001200, Pavir.2KG361300	Seita.9G018900	GRMZM2G148937
Sobic.001G019800	Bradi1g02380	LOC_Os03g62260, LOC_Os03g62250	Pavir.9NG001100	Seita.9G019000	GRMZM2G134270
Sobic.001G019900	Bradi1g02390		Pavir.9NG001000, Pavir.2KG361100, Pavir.8KG217400	Seita.9G019100	
Sobic.001G020000	Bradi4g38660, Bradi2g00840	LOC_Os09g39590	Pavir.J263400, Pavir.2NG237000	Seita.8G103100, Seita.2G134900	GRMZM2G036050
Sobic.001G020100	Bradi1g02400	LOC_Os03g62240	Pavir.9NG000700, Pavir.2KG360900, Pavir.8KG217600	Seita.9G019200	GRMZM2G170137
Sobic.001G020200	Bradi1g02410	LOC_Os03g62230	Pavir.8KG217700, Pavir.2KG360800, Pavir.9NG000600, Pavir.5KG662100	Seita.9G019300	GRMZM2G470422
Sobic.001G020350					GRMZM5G883969
Sobic.001G020500	Bradi1g02440	LOC_Os03g62180	Pavir.8KG218100, Pavir.9NG198100	Seita.9G019900	GRMZM2G113158
